series_id,title,description,frequency,time_index_start,time_index_end,units,dataset_title,publisher_name,source,theme
1.1_DGCP_D_1993_A_27,demanda_global_consumo_priv,"Consumo privado desestacionalizado, en millones de pesos de 1993 y Trimestral",R/P1Y,1993-01-01,2012-01-01,Millones de pesos a precios de 1993,Oferta y Demanda Globales. Datos desestacionalizados. Base 1993,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Actividad
1.1_DGCP_D_1993_A_30,demanda_global_consumo_publico,"Consumo publico desestacionalizado, en millones de pesos de 1993 y Trimestral",R/P1Y,1993-01-01,2012-01-01,Millones de pesos a precios de 1993,Oferta y Demanda Globales. Datos desestacionalizados. Base 1993,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Actividad
1.1_DGE_D_1993_A_26,demanda_global_exportacion,"Exportaciones desestacionalizadas, en millones de pesos de 1993 y Trimestral",R/P1Y,1993-01-01,2012-01-01,Millones de pesos a precios de 1993,Oferta y Demanda Globales. Datos desestacionalizados. Base 1993,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Actividad
1.1_DGI_D_1993_A_19,demanda_global_ibif,"Inversion bruta interna fija desestacionalizada, en millones de pesos de 1993 y Trimestral",R/P1Y,1993-01-01,2012-01-01,Millones de pesos a precios de 1993,Oferta y Demanda Globales. Datos desestacionalizados. Base 1993,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Actividad
1.1_OGI_D_1993_A_25,oferta_global_importacion,"Importaciones desestacionalizadas, en millones de pesos de 1993 y Trimestral",R/P1Y,1993-01-01,2012-01-01,Millones de pesos a precios de 1993,Oferta y Demanda Globales. Datos desestacionalizados. Base 1993,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Actividad
1.1_OGP_D_1993_A_17,oferta_global_pib,"PIB desestacionalizado, en millones de pesos de 1993 y Trimestral",R/P1Y,1993-01-01,2012-01-01,Millones de pesos a precios de 1993,Oferta y Demanda Globales. Datos desestacionalizados. Base 1993,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Actividad
1.2_DGCP_D_1993_T_27,demanda_global_consumo_priv,"Consumo publico, en millones de pesos de 1993 y Anual.",R/P3M,1993-01-01,2013-07-01,Millones de pesos a precios de 1993,Oferta y Demanda Globales. Datos desestacionalizados. Base 1993,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Actividad
1.2_DGCP_D_1993_T_30,demanda_global_consumo_publico,"Inversion bruta interna fija, en millones de pesos de 1993 y Anual.",R/P3M,1993-01-01,2013-07-01,Millones de pesos a precios de 1993,Oferta y Demanda Globales. Datos desestacionalizados. Base 1993,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Actividad
1.2_DGE_D_1993_T_26,demanda_global_exportacion,"Oferta global total a precios de comprador, en millones de pesos de 1993 y Anual.",R/P3M,1993-01-01,2013-07-01,Millones de pesos a precios de 1993,Oferta y Demanda Globales. Datos desestacionalizados. Base 1993,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Actividad
1.2_DGI_D_1993_T_19,demanda_global_ibif,"Consumo privado, en millones de pesos de 1993 y Anual.",R/P3M,1993-01-01,2013-07-01,Millones de pesos a precios de 1993,Oferta y Demanda Globales. Datos desestacionalizados. Base 1993,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Actividad
