series_id,title,description,frequency,time_index_start,time_index_end,units,dataset_title,publisher_name,source,theme
149.1_SOR_PRIADO_OCTU_0_25,indice_salarios_registrado_sector_privado,Índice de Salarios. Empleo registrado. Sector privado.,R/P1M,2015-10-01,2026-04-01,Índice,Índice de salarios. Base octubre 2016,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Empleo e Ingresos
149.1_SOR_PRIADO_OCTU_0_28,indice_salarios_no_registrado_sector_privado,Índice de Salarios. Empleo no registrado. Sector privado.,R/P1M,2016-10-01,2026-04-01,Índice,Índice de salarios. Base octubre 2016,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Empleo e Ingresos
149.1_SOR_PUBICO_OCTU_0_14,indice_salarios_registrado_sector_publico,Índice de Salarios. Empleo registrado. Sector público.,R/P1M,2015-10-01,2026-04-01,Índice,Índice de salarios. Base octubre 2016,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Empleo e Ingresos
149.1_TL_INDIIOS_OCTU_0_21,indice_salarios,Índice de Salarios,R/P1M,2016-10-01,2026-04-01,Índice,Índice de salarios. Base octubre 2016,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Empleo e Ingresos
149.1_TL_REGIADO_OCTU_0_16,indice_salarios_registrado,Índice de Salarios. Empleo registrado.,R/P1M,2015-10-01,2026-04-01,Índice,Índice de salarios. Base octubre 2016,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Empleo e Ingresos
151.1_AARIADODAD_2012_M_30,asalariados_pub_estacionalidad,Asalariados. Sector público. Con estacionalidad.,R/P1M,2012-01-01,2026-05-01,Miles de Personas,Trabajadores registrados según modalidad ocupacional principal. Base 2012,Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
151.1_AARIADODAD_2012_M_31,asalariados_priv_estacionalidad,Asalariados. Sector privado. Con estacionalidad.,R/P1M,2012-01-01,2026-05-01,Miles de Personas,Trabajadores registrados según modalidad ocupacional principal. Base 2012,Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
151.1_AARIADODAD_2012_M_45,asalariados_casas_particulares_estacionalidad,Asalariados. Casas particulares. Con estacionalidad.,R/P1M,2012-01-01,2026-05-01,Miles de Personas,Trabajadores registrados según modalidad ocupacional principal. Base 2012,Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
151.1_AARIADOTAC_2012_M_25,asalariados_pub_sin_estac,Asalariados. Sector público. Sin estacionalidad.,R/P1M,2012-01-01,2026-05-01,Miles de Personas,Trabajadores registrados según modalidad ocupacional principal. Base 2012,Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
151.1_AARIADOTAC_2012_M_26,asalariados_priv_sin_estac,Asalariados. Sector privado. Sin estacionalidad.,R/P1M,2012-01-01,2026-05-01,Miles de Personas,Trabajadores registrados según modalidad ocupacional principal. Base 2012,Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
151.1_AARIADOTAC_2012_M_40,asalariados_casas_particulares_sin_estac,Asalariados. Casas particulares. Sin estacionalidad.,R/P1M,2012-01-01,2026-05-01,Miles de Personas,Trabajadores registrados según modalidad ocupacional principal. Base 2012,Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
151.1_IPENDIEDAD_2012_M_39,independientes_autonomos_estacionalidad,Independientes autónomos. Con estacionalidad.,R/P1M,2012-01-01,2026-05-01,Miles de Personas,Trabajadores registrados según modalidad ocupacional principal. Base 2012,Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
151.1_IPENDIEDAD_2012_M_41,independientes_monotributo_estacionalidad,Independientes monotributo. Con estacionalidad.,R/P1M,2012-01-01,2026-05-01,Miles de Personas,Trabajadores registrados según modalidad ocupacional principal. Base 2012,Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
151.1_IPENDIEDAD_2012_M_48,independientes_monotributo_social_estacionalidad,Independientes monotributo social. Con estacionalidad.,R/P1M,2012-01-01,2026-05-01,Miles de Personas,Trabajadores registrados según modalidad ocupacional principal. Base 2012,Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
151.1_IPENDIETAC_2012_M_34,independientes_autonomos_sin_estac,Independientes autónomos. Sin estacionalidad.,R/P1M,2012-01-01,2026-05-01,Miles de Personas,Trabajadores registrados según modalidad ocupacional principal. Base 2012,Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
