series_id,title,description,frequency,time_index_start,time_index_end,units,dataset_title,publisher_name,source,theme
120.1_ED1_1993_0_26,exportaciones_dolares_1993,Exportaciones de bienes en millones de dólares de 1993,R/P1Y,1986-01-01,2023-01-01,Millones de dólares de 1993,Poder de compra de las exportaciones de bienes y ganancia del intercambio,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Sector Externo
120.1_GPI_1993_0_28,ganancia_perdida_intercambio,Ganancia o pérdida del intercambio en millones de dólares de 1993,R/P1Y,1986-01-01,2023-01-01,Millones de dólares de 1993,Poder de compra de las exportaciones de bienes y ganancia del intercambio,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Sector Externo
120.1_PCE_1993_0_24,poder_compra_exportacion,Poder de compra de las exportaciones de bienes en millones de dólares de 1993,R/P1Y,1986-01-01,2023-01-01,Millones de dólares de 1993,Poder de compra de las exportaciones de bienes y ganancia del intercambio,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Sector Externo
120.1_TI_1993_0_20,terminos_intercambio,Índices de términos del intercambio: Anual base 1993,R/P1Y,1986-01-01,2023-01-01,Índice 1993=100,Poder de compra de las exportaciones de bienes y ganancia del intercambio,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Sector Externo
144.1_AVOSCALES_0_A_19,activos_cat_anuales,Activos. Valor del total de los activos. Anual,R/P1Y,2006-01-01,2025-01-01,Millones de dólares,Posición de Inversión Internacional neta,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Sector Externo
144.1_AVOSRELES_0_A_24,activos_reservas_anuales,Activos. Valor de los activos de reservas. Anual,R/P1Y,2006-01-01,2025-01-01,Millones de dólares,Posición de Inversión Internacional neta,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Sector Externo
144.1_CITOSAUAL_0_A_36,creditos_anticipos_comerciales_anual,Activos. Valor de los créditos y anticipos comerciales. Anual,R/P1Y,2006-01-01,2025-01-01,Millones de dólares,Posición de Inversión Internacional neta,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Sector Externo
144.1_DCHOSEUAL_0_A_30,derechos_especiales_giro_anual,Activos. Valor de los derechos especiales de giro. Anual,R/P1Y,2006-01-01,2025-01-01,Millones de dólares,Posición de Inversión Internacional neta,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Sector Externo
144.1_IRSIONLES_0_A_25,inversion_cartera_anuales,Activos. Valor de la inversión de cartera. Anual,R/P1Y,2006-01-01,2025-01-01,Millones de dólares,Posición de Inversión Internacional neta,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Sector Externo
144.1_IRSIONLES_0_A_29,inversion_directa_cat_anuales,Activos. Valor de la inversión directa. Anual,R/P1Y,2006-01-01,2025-01-01,Millones de dólares,Posición de Inversión Internacional neta,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Sector Externo
