series_id,title,description,frequency,time_index_start,time_index_end,units,dataset_title,publisher_name,source,theme
142.1_APORT_2001_A_18,aportes_personales,Aportes personales de los Recursos tributarios totales y por tributo. Anual (Base 2001),R/P1Y,1997-01-01,2025-01-01,Millones de pesos,Recursos tributarios totales y por tributo,Subsecretaría de Programación Macroeconómica,"Secretaría de Hacienda, Ministerio de Economía",Finanzas Públicas
142.1_BIENE_2001_A_17,bienes_personales,Bienes personales de los Recursos tributarios totales y por tributo. Anual (Base 2001),R/P1Y,1997-01-01,2025-01-01,Millones de pesos,Recursos tributarios totales y por tributo,Subsecretaría de Programación Macroeconómica,"Secretaría de Hacienda, Ministerio de Economía",Finanzas Públicas
142.1_COMBUSTIBLROS_0_A_28_93,combustibles_ley_23966_otros,Combustibles ley 23.966 otros de los Recursos tributarios totales y por tributo. Anual (Base 2001),R/P1Y,1997-01-01,2025-01-01,Millones de pesos,Recursos tributarios totales y por tributo,Subsecretaría de Programación Macroeconómica,"Secretaría de Hacienda, Ministerio de Economía",Finanzas Públicas
142.1_COMBU_2001_A_28,combustibles_ley_23966_naftas,Combustibles ley 23.966 naftas de los Recursos tributarios totales y por tributo. Anual (Base 2001),R/P1Y,1997-01-01,2025-01-01,Millones de pesos,Recursos tributarios totales y por tributo,Subsecretaría de Programación Macroeconómica,"Secretaría de Hacienda, Ministerio de Economía",Finanzas Públicas
142.1_CONTR_2001_A_25,contribuciones_patronales,Contribuciones patronales de los Recursos tributarios totales y por tributo. Anual (Base 2001),R/P1Y,1997-01-01,2025-01-01,Millones de pesos,Recursos tributarios totales y por tributo,Subsecretaría de Programación Macroeconómica,"Secretaría de Hacienda, Ministerio de Economía",Finanzas Públicas
142.1_CREDI_2001_A_24,creditos_debitos_cta_cte,Creditos debitos cta cte de los Recursos tributarios totales y por tributo. Anual (Base 2001),R/P1Y,1997-01-01,2025-01-01,Millones de pesos,Recursos tributarios totales y por tributo,Subsecretaría de Programación Macroeconómica,"Secretaría de Hacienda, Ministerio de Economía",Finanzas Públicas
142.1_DEREC_2001_A_20,derechos_exportacion,Derechos exportacion de los Recursos tributarios totales y por tributo. Anual (Base 2001),R/P1Y,1997-01-01,2025-01-01,Millones de pesos,Recursos tributarios totales y por tributo,Subsecretaría de Programación Macroeconómica,"Secretaría de Hacienda, Ministerio de Economía",Finanzas Públicas
142.1_DEREC_2001_A_26,derechos_importacion_otros,Derechos importacion otros de los Recursos tributarios totales y por tributo. Anual (Base 2001),R/P1Y,1997-01-01,2025-01-01,Millones de pesos,Recursos tributarios totales y por tributo,Subsecretaría de Programación Macroeconómica,"Secretaría de Hacienda, Ministerio de Economía",Finanzas Públicas
142.1_DEVOL_2001_A_12,devoluciones,Devoluciones de los Recursos tributarios totales y por tributo. Anual (Base 2001),R/P1Y,1997-01-01,2025-01-01,Millones de pesos,Recursos tributarios totales y por tributo,Subsecretaría de Programación Macroeconómica,"Secretaría de Hacienda, Ministerio de Economía",Finanzas Públicas
142.1_FACIL_2001_A_16,facilidades_pago,Facilidades pago de los Recursos tributarios totales y por tributo. Anual (Base 2001),R/P1Y,1997-01-01,2025-01-01,Millones de pesos,Recursos tributarios totales y por tributo,Subsecretaría de Programación Macroeconómica,"Secretaría de Hacienda, Ministerio de Economía",Finanzas Públicas
142.1_GANANDI_2001_A_13,ganancias_dgi,Ganancias dgi de los Recursos tributarios totales y por tributo. Anual (Base 2001),R/P1Y,1997-01-01,2025-01-01,Millones de pesos,Recursos tributarios totales y por tributo,Subsecretaría de Programación Macroeconómica,"Secretaría de Hacienda, Ministerio de Economía",Finanzas Públicas
142.1_GANAN_2001_A_13,ganancias_dga,Ganancias dga de los Recursos tributarios totales y por tributo. Anual (Base 2001),R/P1Y,1997-01-01,2025-01-01,Millones de pesos,Recursos tributarios totales y por tributo,Subsecretaría de Programación Macroeconómica,"Secretaría de Hacienda, Ministerio de Economía",Finanzas Públicas
142.1_GANAN_2001_A_24,ganancia_minima_presunta,Ganancia minima presunta de los Recursos tributarios totales y por tributo. Anual (Base 2001),R/P1Y,1997-01-01,2025-01-01,Millones de pesos,Recursos tributarios totales y por tributo,Subsecretaría de Programación Macroeconómica,"Secretaría de Hacienda, Ministerio de Economía",Finanzas Públicas
142.1_GANAN_2001_A_9,ganancias,Ganancias de los Recursos tributarios totales y por tributo. Anual (Base 2001),R/P1Y,1997-01-01,2025-01-01,Millones de pesos,Recursos tributarios totales y por tributo,Subsecretaría de Programación Macroeconómica,"Secretaría de Hacienda, Ministerio de Economía",Finanzas Públicas
142.1_IMPUESTO_PAIS_0_A_13_23,impuesto_pais,Impuesto PAIS de los Recursos tributarios totales y por tributo. Anual (Base 2001),R/P1Y,1997-01-01,2025-01-01,Millones de pesos,Recursos tributarios totales y por tributo,Subsecretaría de Programación Macroeconómica,"Secretaría de Hacienda, Ministerio de Economía",Finanzas Públicas
