series_id,title,description,frequency,time_index_start,time_index_end,units,dataset_title,publisher_name,source,theme
100.2_I2AB_2003_T_26,ipc_2003_alimentos_bebidas,IPC Alimentos y Bebidas. Base 2003. Trimestral,R/P3M,2005-10-01,2008-01-01,Índice 2003=100,Índice de Precios al Consumidor (IPC) Nacional. Por capítulos. Base 2003. SERIE DISCONTINUADA,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Precios
100.2_I2AMS_2003_T_30,ipc_2003_atencion_medica_salud,IPC Atención médica y salud. Base 2003. Trimestral,R/P3M,2005-10-01,2008-01-01,Índice 2003=100,Índice de Precios al Consumidor (IPC) Nacional. Por capítulos. Base 2003. SERIE DISCONTINUADA,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Precios
100.2_I2BSV_2003_T_32,ipc_2003_bienes_servicios_varios,IPC Bienes y servicios varios. Base 2003. Trimestral,R/P3M,2005-10-01,2008-01-01,Índice 2003=100,Índice de Precios al Consumidor (IPC) Nacional. Por capítulos. Base 2003. SERIE DISCONTINUADA,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Precios
100.2_I2EDH_2003_T_31,ipc_2003_equipamiento_del_hogar,IPC Equipamiento del hogar Base. 2003. Trimestral,R/P3M,2005-10-01,2008-01-01,Índice 2003=100,Índice de Precios al Consumidor (IPC) Nacional. Por capítulos. Base 2003. SERIE DISCONTINUADA,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Precios
100.2_I2E_2003_T_18,ipc_2003_educacion,IPC Educación. Base 2003. Trimestral,R/P3M,2005-10-01,2008-01-01,Índice 2003=100,Índice de Precios al Consumidor (IPC) Nacional. Por capítulos. Base 2003. SERIE DISCONTINUADA,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Precios
100.2_I2E_2003_T_22,ipc_2003_esparcimiento,IPC Esparcimiento. Base 2003. Trimestral,R/P3M,2005-10-01,2008-01-01,Índice 2003=100,Índice de Precios al Consumidor (IPC) Nacional. Por capítulos. Base 2003. SERIE DISCONTINUADA,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Precios
100.2_I2I_2003_T_21,ipc_2003_indumentaria,IPC Indumentaria. Base 2003. Trimestral,R/P3M,2005-10-01,2008-01-01,Índice 2003=100,Índice de Precios al Consumidor (IPC) Nacional. Por capítulos. Base 2003. SERIE DISCONTINUADA,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Precios
100.2_I2NG_2003_T_22,ipc_2003_nivel_general,IPC Nivel General. Base 2003. Trimestral,R/P3M,2005-10-01,2008-01-01,Índice 2003=100,Índice de Precios al Consumidor (IPC) Nacional. Por capítulos. Base 2003. SERIE DISCONTINUADA,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Precios
100.2_I2TC_2003_T_34,ipc_2003_transporte_comunicaciones,IPC Transporte y comunicaciones. Base 2003. Trimestral,R/P3M,2005-10-01,2008-01-01,Índice 2003=100,Índice de Precios al Consumidor (IPC) Nacional. Por capítulos. Base 2003. SERIE DISCONTINUADA,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Precios
100.2_I2V_2003_T_17,ipc_2003_vivienda,IPC Vivienda. Base 2003. Trimestral,R/P3M,2005-10-01,2008-01-01,Índice 2003=100,Índice de Precios al Consumidor (IPC) Nacional. Por capítulos. Base 2003. SERIE DISCONTINUADA,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Precios
100.3_I2AB_2003_M_26,ipc_2003_alimentos_bebidas,IPC Alimentos y Bebidas. Base 2003. Mensual,R/P1M,2005-09-01,2008-03-01,Índice 2003=100,Índice de Precios al Consumidor (IPC) Nacional. Por capítulos. Base 2003. SERIE DISCONTINUADA,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Precios
100.3_I2AMS_2003_M_30,ipc_2003_atencion_medica_salud,IPC Atención médica y salud. Base 2003. Mensual,R/P1M,2005-09-01,2008-03-01,Índice 2003=100,Índice de Precios al Consumidor (IPC) Nacional. Por capítulos. Base 2003. SERIE DISCONTINUADA,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Precios
100.3_I2BSV_2003_M_32,ipc_2003_bienes_servicios_varios,IPC Bienes y servicios varios. Base 2003. Mensual,R/P1M,2005-09-01,2008-03-01,Índice 2003=100,Índice de Precios al Consumidor (IPC) Nacional. Por capítulos. Base 2003. SERIE DISCONTINUADA,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Precios
100.3_I2EDH_2003_M_31,ipc_2003_equipamiento_del_hogar,IPC Equipamiento del hogar Base. 2003. Mensual,R/P1M,2005-09-01,2008-03-01,Índice 2003=100,Índice de Precios al Consumidor (IPC) Nacional. Por capítulos. Base 2003. SERIE DISCONTINUADA,Subsecretaría de Programación Macroeconómica,Instituto Nacional de Estadística y Censos (INDEC),Precios
