series_id,title,description,frequency,time_index_start,time_index_end,units,dataset_title,publisher_name,source,theme
115.1_TCRM_0_A_29,tipo_cambio_real_multilateral,Índice de Tipo de Cambio Real Multilateral: Anual Índice Diciembre 2001=100,R/P1Y,1991-01-01,2015-01-01,Índice Dic-2001=100,Índice de Tipo de Cambio Real Multilateral Base Diciembre de 2001 = 100 (SERIE DISCONTINUADA),Subsecretaría de Programación Macroeconómica,Banco Central de la República Argentina (BCRA),Dinero y Bancos
115.2_TCRM_0_T_29,tipo_cambio_real_multilateral,Índice de Tipo de Cambio Real Multilateral: Trimestral Índice Diciembre 2001=100,R/P3M,1991-01-01,2015-10-01,Índice Dic-2001=100,Índice de Tipo de Cambio Real Multilateral Base Diciembre de 2001 = 100 (SERIE DISCONTINUADA),Subsecretaría de Programación Macroeconómica,Banco Central de la República Argentina (BCRA),Dinero y Bancos
115.3_TCRM_0_M_29,tipo_cambio_real_multilateral,Índice de Tipo de Cambio Real Multilateral: Mensual Índice Diciembre 2001=100,R/P1M,1991-01-01,2015-12-01,Índice Dic-2001=100,Índice de Tipo de Cambio Real Multilateral Base Diciembre de 2001 = 100 (SERIE DISCONTINUADA),Subsecretaría de Programación Macroeconómica,Banco Central de la República Argentina (BCRA),Dinero y Bancos
116.1_TCRB_0_A_23,tipo_cambio_real_brasil,Índice de Tipo de Cambio Real Brasil,R/P1Y,1997-01-01,2024-01-01,Índice 17-Dic-2015=100,Índice de Tipo de Cambio Real Multilateral Base 17 de Diciembre de 2015 = 100,Subsecretaría de Programación Macroeconómica,Banco Central de la República Argentina (BCRA),Dinero y Bancos
116.1_TCRCA_0_A_23,tipo_cambio_real_canada,Índice de Tipo de Cambio Real Canadá,R/P1Y,1997-01-01,2024-01-01,Índice 17-Dic-2015=100,Índice de Tipo de Cambio Real Multilateral Base 17 de Diciembre de 2015 = 100,Subsecretaría de Programación Macroeconómica,Banco Central de la República Argentina (BCRA),Dinero y Bancos
116.1_TCRCH_0_A_22,tipo_cambio_real_china,Índice de Tipo de Cambio Real China,R/P1Y,1997-01-01,2024-01-01,Índice 17-Dic-2015=100,Índice de Tipo de Cambio Real Multilateral Base 17 de Diciembre de 2015 = 100,Subsecretaría de Programación Macroeconómica,Banco Central de la República Argentina (BCRA),Dinero y Bancos
116.1_TCRC_0_A_22,tipo_cambio_real_chile,Índice de Tipo de Cambio Real Chile,R/P1Y,1997-01-01,2024-01-01,Índice 17-Dic-2015=100,Índice de Tipo de Cambio Real Multilateral Base 17 de Diciembre de 2015 = 100,Subsecretaría de Programación Macroeconómica,Banco Central de la República Argentina (BCRA),Dinero y Bancos
116.1_TCREU_0_A_31,tipo_cambio_real_estados_unidos,Índice de Tipo de Cambio Real Estados Unidos,R/P1Y,1997-01-01,2024-01-01,Índice 17-Dic-2015=100,Índice de Tipo de Cambio Real Multilateral Base 17 de Diciembre de 2015 = 100,Subsecretaría de Programación Macroeconómica,Banco Central de la República Argentina (BCRA),Dinero y Bancos
116.1_TCRI_0_A_22,tipo_cambio_real_india,Índice de Tipo de Cambio Real India,R/P1Y,1997-01-01,2024-01-01,Índice 17-Dic-2015=100,Índice de Tipo de Cambio Real Multilateral Base 17 de Diciembre de 2015 = 100,Subsecretaría de Programación Macroeconómica,Banco Central de la República Argentina (BCRA),Dinero y Bancos
116.1_TCRJ_0_A_22,tipo_cambio_real_japon,Índice de Tipo de Cambio Real Japón,R/P1Y,1997-01-01,2024-01-01,Índice 17-Dic-2015=100,Índice de Tipo de Cambio Real Multilateral Base 17 de Diciembre de 2015 = 100,Subsecretaría de Programación Macroeconómica,Banco Central de la República Argentina (BCRA),Dinero y Bancos
