date,primary_balance_nominal_millions_ars,cpi_national_dec_2016_100,primary_balance_real_dec_2016_millions_ars
2016-01-01,740.7000000000553,,
2016-02-01,-16642.40999999999,,
2016-03-01,-30012.10000000001,,
2016-04-01,-10893.46000000002,,
2016-05-01,-11974.199999999984,,
2016-06-01,-44008.00000000006,,
2016-07-01,-24366.2999999999,,
2016-08-01,-35415.50468200003,,
2016-09-01,-37017.29999999996,,
2016-10-01,-61868.29999999996,,
2016-11-01,-13299.749602000054,,
2016-12-01,-58768.90000000011,100.0,-58768.9
2017-01-01,3587.200000000099,101.5859,3531.19872
2017-02-01,-26746.800000000047,103.6859,-25795.985761
2017-03-01,-18184.199999999924,106.1476,-17131.051479
2017-04-01,-18663.600000000035,108.9667,-17127.801429
2017-05-01,-27239.399999999998,110.5301,-24644.327654
2017-06-01,-57038.80000000005,111.8477,-50996.846605
2017-07-01,-22089.600000000035,113.7852,-19413.421078
2017-08-01,-24650.600000000035,115.3819,-21364.356108
2017-09-01,-31353.10000000001,117.5719,-26667.171322
2017-10-01,-32494.79999999993,119.3528,-27225.83802
2017-11-01,-29661.499999999916,120.994,-24514.851976
2017-12-01,-119607.10000000006,124.7956,-95842.401495
2018-01-01,3928.5999999999767,126.9887,3093.66109
2018-02-01,-20227.599999999977,130.0606,-15552.442477
2018-03-01,-14701.899999999936,133.1054,-11045.306952
2018-04-01,-10342.399999999936,136.7512,-7562.931806
2018-05-01,-7817.8000000000175,139.5893,-5600.572537
2018-06-01,-56663.60000000012,144.8053,-39130.888165
2018-07-01,-14279.599999999948,149.2966,-9564.58486
2018-08-01,-10356.40000000008,155.1034,-6677.094119
2018-09-01,-22854.300000000017,165.2383,-13831.115425
2018-10-01,-16585.900000000023,174.1473,-9524.063824
2018-11-01,-33770.20000000001,179.6388,-18798.945439
2018-12-01,-135316.2,184.2552,-73439.555573
2019-01-01,16657.600000000093,189.6101,8785.186021
2019-02-01,6726.400000000052,196.7501,3418.753027
2019-03-01,-13037.000000000116,205.9571,-6329.959006
2019-04-01,498.5,213.0517,233.980766
2019-05-01,25973.799999999872,219.5691,11829.442303
2019-06-01,-6598.199999999895,225.537,-2925.551018
2019-07-01,4292.79999999993,230.494,1862.434597
2019-08-01,13746.09999999986,239.6077,5736.919139
2019-09-01,-25368.300000000047,253.7102,-9998.927911
2019-10-01,8526.90000000014,262.0661,3253.721103
2019-11-01,-6396.999999999942,273.2158,-2341.372644
2019-12-01,-120143.10000000003,283.4442,-42386.861329
2020-01-01,-3765.899999999965,289.8299,-1299.348342
2020-02-01,-27497.100000000093,295.666,-9300.054792
2020-03-01,-124727.7,305.5515,-40820.516345
2020-04-01,-228821.59999999992,310.1243,-73783.834417
2020-05-01,-251287.00000000015,314.9087,-79796.779193
2020-06-01,-253706.19999999995,321.9738,-78797.156787
2020-07-01,-155523.80000000034,328.2014,-47386.696096
2020-08-01,-89499.40000000002,337.0632,-26552.705843
2020-09-01,-167181.48999999982,346.6207,-48231.825162
2020-10-01,-81626.69999999984,359.657,-22695.707299
2020-11-01,-58692.80000000016,371.0211,-15819.262031
2020-12-01,-307627.50000000023,385.8826,-79720.490118
2021-01-01,24073.599999999977,401.5071,5995.80929
2021-02-01,-18757.200000000183,415.8595,-4510.465674
2021-03-01,-74465.59999999986,435.8657,-17084.52856
2021-04-01,-11444.89999999979,453.6503,-2522.846342
2021-05-01,25713.58999999973,468.725,5485.858446
2021-06-01,-153217.4800000001,483.6049,-31682.367156
2021-07-01,-98570.29999999992,498.0987,-19789.310833
2021-08-01,-124835.49999999952,510.3942,-24458.643927
2021-09-01,291428.3999999998,528.4968,55142.888282
2021-10-01,-209168.7000000003,547.0802,-38233.64472
2021-11-01,-134652.8999999999,560.9184,-24005.791217
2021-12-01,-496343.6000000005,582.4575,-85215.419151
2022-01-01,-16698.03344600019,605.0317,-2759.860921
2022-02-01,-76283.49999999977,633.4341,-12042.847078
2022-03-01,-99753.30000000005,676.0566,-14755.169907
2022-04-01,-79184.80000000028,716.9399,-11044.830954
2022-05-01,-162411.7465789998,753.147,-21564.415257
2022-06-01,-321644.40000000014,793.0278,-40559.032105
2022-07-01,-1945.3000000002796,851.761,-228.385662
2022-08-01,-210051.80000000028,911.1316,-23053.947421
2022-09-01,80624.29999999958,967.3076,8334.918489
2022-10-01,-103049.1000000008,1028.706,-10017.351896
2022-11-01,-227838.29999999932,1079.2787,-21110.237791
2022-12-01,-441512.0,1134.5875,-38913.878392
2023-01-01,-203938.30000000028,1202.979,-16952.773074
2023-02-01,-228134.00000000023,1282.7091,-17785.326385
2023-03-01,-257855.49999999977,1381.1601,-18669.486615
2023-04-01,-331372.7999999996,1497.2147,-22132.617319
2023-05-01,-247650.89999999944,1613.5895,-15347.825454
2023-06-01,-611742.5000000009,1709.6115,-35782.544748
2023-07-01,-334365.99999999953,1818.0838,-18391.121465
