date,series_id,component,component_label,component_type,value,unit
2004-01-01,6.1_AGCS_2004_A_39,agriculture_forestry,"Agricultura, ganadería, caza y silvicultura",industry,39125.19761309238,Millones de pesos a precios de 2004
2004-01-01,6.1_P_2004_A_5,fishing,Pesca,industry,1442.495602270655,Millones de pesos a precios de 2004
2004-01-01,6.1_EMC_2004_A_26,mining_quarrying,Explotación de minas y canteras,industry,24321.80581929455,Millones de pesos a precios de 2004
2004-01-01,6.1_IM_2004_A_23,manufacturing,Industria manufacturera,industry,91866.33049007082,Millones de pesos a precios de 2004
2004-01-01,6.1_SEGA_2004_A_32,electricity_gas_water,"Suministro de electricidad, gas y agua",industry,8702.405576795833,Millones de pesos a precios de 2004
2004-01-01,6.1_C_2004_A_12,construction,Construcción,industry,14904.725389499732,Millones de pesos a precios de 2004
2004-01-01,6.1_CMMR_2004_A_41,trade_repairs,"Comercio mayorista, minorista y reparaciones",industry,60034.595442528895,Millones de pesos a precios de 2004
2004-01-01,6.1_HR_2004_A_20,hotels_restaurants,Hoteles y restaurantes,industry,6936.034247546362,Millones de pesos a precios de 2004
2004-01-01,6.1_TAC_2004_A_40,transport_storage_communications,"Transporte, almacenamiento y comunicaciones",industry,29789.900144942854,Millones de pesos a precios de 2004
2004-01-01,6.1_IF_2004_A_25,financial_intermediation,Intermediación financiera,industry,15079.408740428742,Millones de pesos a precios de 2004
2004-01-01,6.1_AIEA_2004_A_48,real_estate_business_rental,"Actividades inmobiliarias, empresariales y de alquiler",industry,53084.365734705134,Millones de pesos a precios de 2004
2004-01-01,6.1_APDPSSAO_2004_A_60,public_administration_defense_social_security,"Administración pública, defensa y seguridad social obligatoria",industry,21585.05448189437,Millones de pesos a precios de 2004
2004-01-01,6.1_E_2004_A_10,education,Enseñanza,industry,17057.398949338647,Millones de pesos a precios de 2004
2004-01-01,6.1_SSS_2004_A_24,health_social_services,Servicios sociales y de salud,industry,13201.353477109184,Millones de pesos a precios de 2004
2004-01-01,6.1_OASCSP_2004_A_60,other_community_social_personal_services,"Otras actividades de servicios comunitarias, sociales y personales",industry,12253.539113760007,Millones de pesos a precios de 2004
2004-01-01,6.1_HPSD_2004_A_32,private_households_domestic_service,Hogares privados con servicio doméstico,industry,3042.848560114448,Millones de pesos a precios de 2004
2004-01-01,6.1_VABPB_2004_A_36,gross_value_added_basic_prices,Valor agregado bruto a precios básicos,subtotal,412427.4593833926,Millones de pesos a precios de 2004
2004-01-01,6.1_IPNS_2004_A_35,net_product_taxes,Otros impuestos a los productos netos de subsidios,bridge,38460.33325159059,Millones de pesos a precios de 2004
2004-01-01,6.1_IVA_2004_A_23,value_added_tax,Impuesto al valor agregado,bridge,30976.949123732003,Millones de pesos a precios de 2004
2004-01-01,6.1_DI_2004_A_20,import_duties,Derechos de importación,bridge,3250.4534476299987,Millones de pesos a precios de 2004
2004-01-01,6.1_PIBPM_2004_A_38,gdp_market_prices,Producto interno bruto a precios de mercado,total,485115.1952063452,Millones de pesos a precios de 2004
2005-01-01,6.1_AGCS_2004_A_39,agriculture_forestry,"Agricultura, ganadería, caza y silvicultura",industry,46858.12510242009,Millones de pesos a precios de 2004
2005-01-01,6.1_P_2004_A_5,fishing,Pesca,industry,1331.620782209225,Millones de pesos a precios de 2004
2005-01-01,6.1_EMC_2004_A_26,mining_quarrying,Explotación de minas y canteras,industry,24246.349120736744,Millones de pesos a precios de 2004
2005-01-01,6.1_IM_2004_A_23,manufacturing,Industria manufacturera,industry,98685.71452141038,Millones de pesos a precios de 2004
2005-01-01,6.1_SEGA_2004_A_32,electricity_gas_water,"Suministro de electricidad, gas y agua",industry,9234.71842231087,Millones de pesos a precios de 2004
2005-01-01,6.1_C_2004_A_12,construction,Construcción,industry,16763.24490688766,Millones de pesos a precios de 2004
2005-01-01,6.1_CMMR_2004_A_41,trade_repairs,"Comercio mayorista, minorista y reparaciones",industry,66288.7238799301,Millones de pesos a precios de 2004
2005-01-01,6.1_HR_2004_A_20,hotels_restaurants,Hoteles y restaurantes,industry,7776.009519820214,Millones de pesos a precios de 2004
2005-01-01,6.1_TAC_2004_A_40,transport_storage_communications,"Transporte, almacenamiento y comunicaciones",industry,34242.69038119117,Millones de pesos a precios de 2004
