date,real_gdp,private_consumption,public_consumption,fixed_investment,exports,imports,inventory_changes,statistical_discrepancy
2004-01-01,460369.4422329487,305237.1734056582,49687.34219058054,71794.43385344952,102774.20298138498,73073.43481112685,3949.821258970952,
2004-04-01,514395.6817723617,338800.0016764252,52072.27795725742,81995.48031590602,119462.27741173614,80006.3072174586,2071.933134947911,
2004-07-01,481151.9799435081,310440.5741314673,53720.816256870574,79254.31381216343,119619.17122810414,85416.07252113911,3533.150723007206,
2004-10-01,484543.6768765623,293849.7939520492,60194.71817543847,75368.48047083837,120898.05016710555,88375.32157266857,22607.903844412853,
2005-01-01,493602.53057785495,319799.76251832145,54179.35547164225,80672.43472385775,119186.92694656596,84904.77744994142,4668.828367409124,
2005-04-01,581668.2498796025,385778.0721106242,58212.17198611024,94508.35870797462,138217.54798367393,97288.20329605682,2240.3023872762333,
2005-07-01,514697.78950542817,323831.3656613597,58977.83929305516,89948.60416710979,135432.69307676284,96844.89303709046,3352.180344231076,
2005-10-01,522255.2000507714,311201.9350682639,65561.51262271135,92100.02293755974,129550.81848020396,99636.55792383583,23477.46886586838,
2006-01-01,532348.2120169173,354888.1198370661,56878.87961277132,93836.5731692338,125801.74305657322,96613.8916394867,-2443.2120192403586,
2006-04-01,614076.3926085439,412814.6666905762,60002.96256628369,105355.8130616704,141431.39484319702,101743.8617298436,-3784.582823339741,
2006-07-01,562978.9656268766,372993.0937998369,60840.091459644784,106228.60234204464,139275.06000824485,109844.576627056,-6513.305355838509,
2006-10-01,572794.0466305884,346795.7535121445,68028.75217628879,103509.58849471423,144930.84608108603,112095.47619426234,21624.58256061705,
2007-01-01,576846.8856994272,394546.92237347405,61224.20472292366,111459.50015804856,129994.2930727219,112275.54046719316,-8102.494160547839,
2007-04-01,674620.5630064849,444046.11165498366,65259.863868160544,125373.05789199455,151852.51450331474,117677.32624788817,5766.341335919644,
2007-07-01,610425.6940148536,403183.03818433546,65411.56329630151,128893.70334910932,153959.99205222024,136188.56334207152,-4834.0395250414695,
2007-10-01,625876.8678635969,384630.0788041762,73096.78847365975,126843.69936850498,160654.2198809369,136704.0597547481,17356.141091067057,
2008-01-01,616720.3570644783,434706.92070959473,63538.090213852025,130866.2750307655,138205.65471421785,138615.196997182,-11981.386606769784,
2008-04-01,711405.5004552329,485578.4593545365,69148.37939277048,146972.60805294834,147769.55715328988,147043.53953203355,8980.036033721306,
2008-07-01,647087.9597424942,425312.74440875015,69622.82939732778,138451.48746983963,169221.27116816866,153056.79563738545,-2463.577064206515,
