date,real_gdp,private_consumption,public_consumption,fixed_investment,exports,imports
2004-01-01,475537.7008374198,301289.521371411,52659.8620459004,74511.1558327021,111457.782159446,76725.6757699771
2004-04-01,470384.9370019846,305207.079744587,52828.3055333313,76865.0228261877,115408.497554694,80629.0753881929
2004-07-01,493754.1534449083,317293.379342058,54478.5568516762,77798.1955246991,116880.014751612,82343.6910246079
2004-10-01,500783.9889143208,324537.558950501,55708.4300966033,79238.3341503206,119007.407432025,87172.6941247572
2005-01-01,515273.14326492086,321569.872934993,57520.1222828373,85170.8723328415,130568.134896273,89020.9851341276
2005-04-01,526633.5674128252,343253.205244844,58975.0358939357,88008.4336489865,132028.822500835,98373.3757907406
2005-07-01,529981.2360959704,331900.922293847,59822.0746621066,88223.6259443682,130626.08683249,93046.3838162214
2005-10-01,540335.8232399402,343887.134884884,60613.6465346394,95826.4886103055,129164.942257609,98233.6869658349
2006-01-01,554470.0623256529,353381.515888043,60535.4051614862,97459.4118531331,134693.111359432,101242.499343915
2006-04-01,561452.2488872844,372568.387114545,60704.1683445278,100734.835175239,134568.047249233,103482.742756529
2006-07-01,576782.7038508101,380894.896403859,61652.9502476397,103918.869707336,137395.981553617,104959.449857508
2006-10-01,589492.6018191787,380646.834433178,62858.1620613349,106817.460331955,144781.903826819,110613.114232698
2007-01-01,603422.3599229907,391569.44445156,65407.2572247315,116273.911514013,141085.460423445,117928.919783876
2007-04-01,616317.4495607412,403422.71983505,65938.2496385337,121501.529202763,144382.851812335,120824.143771677
2007-07-01,624326.0369350465,412122.076929209,66181.2305983465,125646.78595262,152735.093477394,129423.550440384
2007-10-01,643704.1641655845,419291.90980115,67465.6828994338,129147.734098262,158257.613796021,134668.875815964
2008-01-01,650049.6607643676,438452.231110931,68231.1464901753,139036.961315899,153074.655817094,145716.757525742
2008-04-01,653316.472977666,440787.218420063,69679.2251427508,142274.716376355,139410.003350938,151080.900406967
2008-07-01,657901.4173770858,435760.407939283,70209.2346949643,134227.364917769,164412.069981498,144213.163458273
2008-10-01,627437.0878457273,429233.709860044,70162.3918430045,119862.017195831,143977.353414201,130031.514102304
2009-01-01,604752.353742122,407945.73097005,70965.6902143325,103715.848120017,144515.217322756,114860.529250432
2009-04-01,590914.1672353718,395093.826077605,71917.277485467,97925.3365980247,136740.95852558,108077.737132707
2009-07-01,614002.6808783242,427130.513152005,74807.0195893981,103383.346135252,126682.736660605,115942.356606325
2009-10-01,625822.3037956799,419915.839200995,76271.1260220263,109521.237295902,136770.829876388,126996.047065622
2010-01-01,644914.2686249001,437511.411449977,76148.8193981335,118311.99876178,142987.925464682,139206.138646281
2010-04-01,673737.2158274372,456792.140400081,77510.4039314434,129028.670536548,162712.311901258,156227.14288996
2010-07-01,677161.1771719764,462958.143406154,76545.1955626774,133775.680271451,162267.507991455,161832.804394913
2010-10-01,686282.0561428805,477438.969170241,79783.9705906951,142266.68427718,152439.839429703,172619.751214731
2011-01-01,702704.5745926565,491014.316202949,79654.5563187355,149900.476959391,158099.343935599,182334.101562103
2011-04-01,709774.2329667369,494903.839661335,81060.527575814,153354.590284894,156786.498332248,191434.824682571
2011-07-01,715335.8405067605,508629.523784083,81862.4273718313,157857.26514335,163890.979172778,199473.407796496
2011-10-01,715311.7408162524,512040.933990012,81561.5677772121,153224.008005569,167370.325032332,195398.63913992
2012-01-01,707996.1950741009,497282.23923102,82426.6158150167,145160.038085163,163754.3974217,186090.901254182
2012-04-01,683979.9652497779,495839.534957792,82756.0254185966,133903.500023622,142537.754844771,172799.712706096
2012-07-01,705104.4065026215,514992.233345544,83996.2771794123,143393.130180132,158596.274520948,182216.571361708
2012-10-01,716863.3910092969,520753.394192339,84714.4651080028,148414.140097324,154712.983223051,191190.419558176
