date,real_gdp,agriculture,mining,manufacturing,construction,trade,electricity_gas_water,transport_communications,financial_intermediation,public_administration
2004-01-01,460369.4422329487,31507.3269866133,24027.489533785894,86448.02216893763,14801.185459514658,58565.3159739285,8603.24552019097,28143.40724444478,15012.872756416493,21071.474914248072
2004-04-01,514395.6817723617,65745.37114103443,24441.46370778426,91700.16904467191,14555.301099634911,60894.07094977155,8742.80766059148,30478.54481222813,14558.300556858689,21445.43258541668
2004-07-01,481151.9799435081,28753.566747384157,24618.477684840924,93728.8257505117,15289.959686194012,60102.61577120757,8906.931528112696,29585.843525224813,15130.093408255309,21755.43240444498
2004-10-01,484543.6768765623,30494.52557733764,24199.79235076712,95588.30499616204,14972.455312655342,60576.37907520795,8556.63759828818,30951.8049978737,15616.368240184474,22067.87802346777
2005-01-01,493602.53057785495,35665.06911029442,23998.485412269623,91736.47799773756,16323.794888297498,63579.08486538658,9171.338179646216,31820.861751131462,15750.693988780238,22224.735472672477
2005-04-01,581668.2498796025,91464.02176641906,24558.983720706583,99507.40056047829,16485.835860866027,68153.38279051537,9210.44101694961,35556.97518855344,16429.372068813587,22590.237962239684
2005-07-01,514697.78950542817,28907.536316885165,24723.07694031871,100147.71693446928,16917.00798702518,66664.11220188576,9585.864633266843,34399.091299560874,16751.991265111403,22785.0411180016
2005-10-01,522255.2000507714,31395.873216081687,23704.850409652063,103351.26259295642,17326.340891361928,66758.31566193266,8971.229859380815,35193.8332855189,17319.477561233878,23329.969236838497
2006-01-01,532348.2120169173,34290.22272928828,24711.16939013534,99844.34859068392,18594.36147225261,70204.71290341315,9418.48009879397,36004.96294060429,17854.653010916376,22961.668173582708
2006-04-01,614076.3926085439,85996.68871571272,25903.17808831301,107920.81620504514,18270.29439084015,73877.9746395367,9674.179831071058,39413.15304741789,18172.989927402858,23322.11461515252
2006-07-01,562978.9656268766,31559.014616755627,26258.137240431304,110311.80167259982,19208.4620872448,74125.37314337348,10075.947217334518,38824.68729742289,18908.10540986513,23731.785447894163
