date,m2,inflation,real_gdp,shopping_center_sales_index_2017,shopping_center_sales_constant_thousands_ars,shopping_center_cinema_screens
2003-01-01,47157.50967741935,,,,,
2003-02-01,46464.67785714286,,,,,
2003-03-01,46895.76735483871,,,,,
2003-04-01,46923.336,,,,,
2003-05-01,48903.35229827925,,,,,
2003-06-01,50330.14249095366,,,,,
2003-07-01,52873.5897250664,,,,,
2003-08-01,55171.66755917518,,,,,
2003-09-01,56143.03613843144,,,,,
2003-10-01,57399.49564108678,,,,,
2003-11-01,59357.71381532235,,,,,
2003-12-01,62386.58335301541,,,,,
2004-01-01,64071.20516240616,,460369.4422329487,,,
2004-02-01,66188.6135351483,,,,,
2004-03-01,65812.61050313903,,,,,
2004-04-01,68301.02566470334,,514395.6817723617,,,
2004-05-01,71140.61156916806,,,,,
2004-06-01,73442.58869646366,,,,,
2004-07-01,76037.41207603161,,481151.9799435081,,,
2004-08-01,77184.26524193549,,,,,
2004-09-01,77300.85991920001,,,,,
2004-10-01,77699.75203886678,,484543.6768765623,,,
2004-11-01,78855.40311700334,,,,,
2004-12-01,83256.56774193548,,,,,
2005-01-01,84746.49773879483,,493602.53057785495,,,
2005-02-01,83057.56191482145,,,,,
2005-03-01,83934.74399256129,,,,,
2005-04-01,84452.193615,,581668.2498796025,,,
2005-05-01,86749.68578019355,,,,,
2005-06-01,89060.32481143333,,,,,
2005-07-01,92713.51963335482,,514697.78950542817,,,
2005-08-01,93353.47958018482,,,,,
2005-09-01,93536.50080944436,,,,,
2005-10-01,95617.88901278388,,522255.2000507714,,,
2005-11-01,97552.12328438334,,,,,
2005-12-01,103865.4450115484,,,,,
2006-01-01,106335.4226279197,,532348.2120169173,,,
2006-02-01,105218.1110837914,,,,,
2006-03-01,106163.7652976774,,,,,
2006-04-01,105248.974189846,,614076.3926085439,,,
2006-05-01,108460.7065629355,,,,,
2006-06-01,109766.8125477087,,,,,
2006-07-01,112881.8505514516,,562978.9656268766,,,
2006-08-01,111933.2258526452,,,,,
2006-09-01,112385.2071297333,,,,,
2006-10-01,114733.1046260968,,572794.0466305884,,,
2006-11-01,117754.9676437,,,,,
2006-12-01,123575.7612687445,,,,,
2007-01-01,126511.9124683226,,576846.8856994272,,,
2007-02-01,126375.6753252436,,,,,
2007-03-01,126693.9628714516,,,,,
2007-04-01,129164.6590662666,,674620.5630064849,,,
2007-05-01,132929.6770502258,,,,,
2007-06-01,134369.8457047667,,,,,
2007-07-01,140236.790721129,,610425.6940148536,,,
2007-08-01,139346.624405871,,,,,
2007-09-01,136808.3710126,,,,,
2007-10-01,138357.3204527845,,625876.8678635969,,,
2007-11-01,139758.9963476,,,,,
2007-12-01,145849.0109792581,,,,,
2008-01-01,154571.6507466387,,616720.3570644783,,,
2008-02-01,151890.3846547728,,,,,
2008-03-01,149820.8669441445,,,,,
2008-04-01,152434.8463562,,711405.5004552329,,,
2008-05-01,154920.0484415512,,,,,
2008-06-01,156157.1208121667,,,,,
2008-07-01,161220.9011031055,,647087.9597424942,,,
2008-08-01,157484.0734495807,,,,,
2008-09-01,162809.3639231973,,,,,
2008-10-01,162080.5665520645,,613490.821702641,,,
2008-11-01,159484.5608759233,,,,,
2008-12-01,173198.2740434668,,,,,
2009-01-01,178345.3900543322,,578553.0442424045,,,
2009-02-01,171690.4555796364,,,,,
2009-03-01,167424.1447373952,,,,,
2009-04-01,166267.9869434,,631197.7518600689,,,
2009-05-01,168838.091973129,,,,,
2009-06-01,175152.394154024,,,,,
2009-07-01,175972.8302902903,,610519.8546117273,,,
2009-08-01,175060.5586472581,,,,,
2009-09-01,178674.122930406,,,,,
2009-10-01,179144.075046119,,615220.8549372972,,,
2009-11-01,180949.450147666,,,,,
2009-12-01,196795.3928314749,,,,,
2010-01-01,204112.963774559,,611607.33658973,,,
2010-02-01,203267.1388544636,,,,,
2010-03-01,197505.0535259994,,,,,
2010-04-01,199218.5735625087,,733730.7739689033,,,
2010-05-01,201074.7124558574,,,,,
2010-06-01,206275.7937455853,,,,,
2010-07-01,217797.8783641271,,668566.5094889859,,,
2010-08-01,217343.827560632,,,,,
2010-09-01,221225.6213703737,,,,,
2010-10-01,229450.473062141,,668190.0977195739,,,
2010-11-01,233121.9147458084,,,,,
2010-12-01,252088.3203927055,,,,,
2011-01-01,269810.133437789,,662325.5859726951,,,
2011-02-01,261402.6660882339,,,,,
2011-03-01,264095.7461294574,,,,,
2011-04-01,268788.908475514,,766332.9545716126,,,
2011-05-01,277192.4241303519,,,,,
2011-06-01,283697.2366982414,,,,,
2011-07-01,296363.666169469,,711417.3919301049,,,
2011-08-01,300088.7283282074,,,,,
2011-09-01,298377.5875593059,,,,,
2011-10-01,300961.3571927697,,703050.4564079925,,,
2011-11-01,303195.2424993327,,,,,
2011-12-01,324858.4102545158,,,,,
2012-01-01,346524.2226606645,,672685.9936305042,,,
2012-02-01,338364.5431447696,,,,,
2012-03-01,340503.0943649323,,,,,
2012-04-01,343906.2454951886,,730838.2725927759,,,
2012-05-01,354344.8624868345,,,,,
2012-06-01,372957.3067516547,,,,,
2012-07-01,399322.515975201,,703461.6525301962,,,
2012-08-01,403940.9380742804,,,,,
2012-09-01,399750.0237601983,,,,,
2012-10-01,404285.1914548441,,706958.0390823188,,,
2012-11-01,419213.3167881806,,,,,
2012-12-01,455027.998106539,,,,,
2013-01-01,475309.5607372361,,677085.5291731509,,,
2013-02-01,458995.1952255257,,,,,
2013-03-01,462396.4601739342,,,,,
2013-04-01,467086.9879799457,,776486.60279942,,,
2013-05-01,471547.6749921112,,,,,
2013-06-01,491277.7006602917,,,,,
2013-07-01,511608.3037901971,,721458.9442161823,,,
2013-08-01,519901.3235646255,,,,,
2013-09-01,528025.0791193002,,,,,
2013-10-01,533576.5413137919,,706597.3450225069,,,
2013-11-01,532680.3762742584,,,,,
2013-12-01,578421.5272942105,,,,,
2014-01-01,614403.4042485649,,671066.0466350627,,,
2014-02-01,576780.0564786639,,,,,
2014-03-01,559157.8229554107,,,,,
2014-04-01,562708.699609925,,760576.8683480041,,,
2014-05-01,574612.1682129174,,,,,
2014-06-01,611920.105485636,,,,,
2014-07-01,640047.2210877684,,690879.7982516834,,,
2014-08-01,646767.724324148,,,,,
2014-09-01,656087.9610925268,,,,,
2014-10-01,670056.7191728784,,686701.4706187105,,,
2014-11-01,688324.16476741,,,,,
2014-12-01,750740.1138519518,,,,,
2015-01-01,785385.1104782742,,672749.8113916992,,,
2015-02-01,741415.2989998552,,,,,
2015-03-01,742826.015395934,,,,,
2015-04-01,760101.0430704798,,791235.9655416702,,,
2015-05-01,779592.7561344571,,,,,
2015-06-01,815841.6987855113,,,,,
2015-07-01,860965.8702197438,,718281.2654497817,,,
2015-08-01,870370.3307324742,,,,,
2015-09-01,885160.7135360603,,,,,
2015-10-01,904205.4613655844,,703681.544169008,,,
2015-11-01,933072.6220717208,,,,,
2015-12-01,1028566.449716573,,,,,
2016-01-01,1016044.917677673,,677652.0891157027,,,
2016-02-01,981559.6393821024,,,,,
2016-03-01,954562.6129812154,,,,,
2016-04-01,930903.1260496826,,760703.2801516564,,,
2016-05-01,950730.2667265608,,,,,
2016-06-01,972708.3524200916,,,,,
2016-07-01,1022889.995347478,,694382.4757762305,,,
2016-08-01,1020926.057541369,,,,,
2016-09-01,1034959.907806346,,,,,
2016-10-01,1062122.689485534,,693173.5493470578,,,
2016-11-01,1106219.648329389,,,,,
2016-12-01,1225315.390518268,,,,,
2017-01-01,1276656.818915649,0.0158589999999998,681444.7661102224,85.43118332804933,6344.563229245913,359.0
2017-02-01,1239643.361714286,0.0206721602112105,,78.6839144078429,5843.476007679589,359.0
2017-03-01,1261845.224451613,0.0237418974036005,,86.59458205141301,6430.963258762787,357.0
2017-04-01,1259474.658333333,0.0265583018363109,778401.6764493167,96.4287926619208,7161.302797529333,357.0
2017-05-01,1267545.266225806,0.0143475024938812,,90.40809408546534,6714.174462014272,357.0
2017-06-01,1326397.629,0.0119207347138923,,103.27607612731906,7669.81761849314,359.0
2017-07-01,1380303.935483871,0.017322662871029,721120.4268527941,116.84813121625288,8677.748894967424,364.0
2017-08-01,1395566.774193548,0.0140325806871193,,97.39420263389933,7232.999154418623,366.0
2017-09-01,1416783.033333333,0.0189804466731784,,92.38313021136702,6860.850899032721,366.0
2017-10-01,1425888.838709677,0.0151473268697708,724592.9216389629,107.36750614237243,7973.668453952866,364.0
2017-11-01,1452821.033333333,0.0137508294736277,,90.71171054669792,6736.722596789992,366.0
2017-12-01,1604514.129,0.0314197398218092,,154.47267658740006,11471.942979371492,366.0
